bacc_inst,field,field_1,field_2,current_inst,year,...6
rutgers university new brunswick,life sciences - systems and molecular biology,life sciences,systems and molecular biology,princeton university,2022,NA
emory university,psychology - developmental psychology,psychology,developmental psychology,NA,2022,NA
berry college,life sciences - microbial biology,life sciences,microbial biology,university of georgia,2022,NA
"university of california, los angeles (ucla)",life sciences - neurosciences,life sciences,neurosciences,university of southern california (usc),2022,NA
college of wooster,psychology - social/affective neuroscience,psychology,social/affective neuroscience,university of north carolina at chapel hill,2022,NA
mount st. mary's university,chemistry - chemical synthesis,chemistry,chemical synthesis,texas a&m university,2022,NA
michigan technological university,life sciences - systems and molecular biology,life sciences,systems and molecular biology,michigan technological university,2022,NA
massachusetts institute of technology,comp/is/eng - data science,comp/is/eng,data science,massachusetts institute of technology,2022,NA
vanderbilt university,social sciences - economics,social sciences,economics,vanderbilt university,2022,NA
university of pennsylvania,psychology - other (specify) - cognitive and affective psychology,psychology,other (specify) - cognitive and affective psychology,university of pennsylvania,2022,NA
ohio state university,engineering - biomedical engineering,engineering,biomedical engineering,university of delaware,2022,NA
lafayette college,engineering - mechanical engineering,engineering,mechanical engineering,lafayette college,2022,NA
tufts university,life sciences - ecology,life sciences,ecology,georgetown university,2022,NA
university of alabama tuscaloosa,engineering - mechanical engineering,engineering,mechanical engineering,university of alabama tuscaloosa,2022,NA
portland state university,engineering - environmental engineering,engineering,environmental engineering,portland state university,2022,NA
gonzaga university,social sciences - sociology,social sciences,sociology,NA,2022,NA
dartmouth college,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,stanford university,2022,NA
university of alabama tuscaloosa,engineering - chemical engineering,engineering,chemical engineering,vanderbilt university,2022,NA
carleton college,life sciences - proteomics,life sciences,proteomics,university of wisconsin-madison,2022,NA
university of oregon eugene,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",university of oregon eugene,2022,NA
purdue university,engineering - computationally intensive research,engineering,computationally intensive research,university of texas at austin,2022,NA
cornell university,psychology - developmental psychology,psychology,developmental psychology,university of minnesota-twin cities,2022,NA
university of notre dame,engineering - biomedical engineering,engineering,biomedical engineering,duke university,2022,NA
yeshiva university,life sciences - cell biology,life sciences,cell biology,"university of california, san francisco",2022,NA
university of pittsburgh,life sciences - evolutionary biology,life sciences,evolutionary biology,university of connecticut,2022,NA
"university of california, berkeley",comp/is/eng - quantum computing and communication,comp/is/eng,quantum computing and communication,NA,2022,NA
ohio state university,life sciences - biophysics,life sciences,biophysics,new york university medical center,2022,NA
georgia institute of technology,comp/is/eng - robotics and computer vision,comp/is/eng,robotics and computer vision,georgia institute of technology,2022,NA
wentworth institute of tech,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,harvard university,2022,NA
"rutgers, the state university of new jersey",materials research - other (specify) - nanomaterials,materials research,other (specify) - nanomaterials,"rutgers, the state university of new jersey",2022,NA
duke university,social sciences - public policy,social sciences,public policy,harvard university,2022,NA
university of illinois at urbana-champaign,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,northwestern university,2022,NA
university of hawaii,engineering - energy engineering,engineering,energy engineering,university of illinois at urbana-champaign,2022,NA
mississippi state university,life sciences - biophysics,life sciences,biophysics,regents of the university of michigan - ann arbor,2022,NA
university of chicago,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",northwestern university,2022,NA
massachusetts institute of technology,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,massachusetts institute of technology,2022,NA
cornell university,psychology - social psychology,psychology,social psychology,university of michigan,2022,NA
hope college,engineering - chemical engineering,engineering,chemical engineering,hope college,2022,NA
university of delaware,engineering - biomedical engineering,engineering,biomedical engineering,university of delaware,2022,NA
massachusetts institute of technology,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,columbia university,2022,NA
california institute of technology,physics and astronomy - theoretical physics,physics and astronomy,theoretical physics,"university of california, berkeley",2022,NA
university of georgia,psychology - industrial/organizational psychology,psychology,industrial/organizational psychology,cuny graduate school university center,2022,NA
university of maryland,life sciences - biochemistry,life sciences,biochemistry,university of maryland,2022,NA
boston college,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",william marsh rice university,2022,NA
university of toledo,stem education and learning research - mathematics education,stem education and learning research,mathematics education,texas state university - san marcos,2022,NA
wesleyan university,life sciences - neurosciences,life sciences,neurosciences,NA,2022,NA
university of oklahoma,life sciences - evolutionary biology,life sciences,evolutionary biology,washington university,2022,NA
purdue university,engineering - bioengineering,engineering,bioengineering,purdue university,2022,NA
university of texas at austin,comp/is/eng - computer systems and embedded systems,comp/is/eng,computer systems and embedded systems,massachusetts institute of technology,2022,NA
united states air force academy,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,united states air force academy,2022,NA
university of chicago,life sciences - biochemistry,life sciences,biochemistry,stanford university,2022,NA
university of kansas,engineering - materials engineering,engineering,materials engineering,university of kansas,2022,NA
washington university,physics and astronomy - plasma physics,physics and astronomy,plasma physics,washington university,2022,NA
university of california-davis,life sciences - biochemistry,life sciences,biochemistry,NA,2022,NA
west virginia university,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,georgia institute of technology,2022,NA
university of illinois at urbana-champaign,life sciences - ecology,life sciences,ecology,stanford university,2022,NA
university of texas at austin,mathematical sciences - statistics,mathematical sciences,statistics,duke university,2022,NA
princeton university,geosciences - tectonics,geosciences,tectonics,princeton university,2022,NA
dartmouth college,social sciences - cultural anthropology,social sciences,cultural anthropology,brown university,2022,NA
william marsh rice university,life sciences - artificial intelligence,life sciences,artificial intelligence,stanford university,2022,NA
university of illinois at urbana-champaign,life sciences - computationally intensive research,life sciences,computationally intensive research,the scripps research institute,2022,NA
university of pennsylvania,life sciences - microbial biology,life sciences,microbial biology,stanford university,2022,NA
stanford university,social sciences - economics,social sciences,economics,NA,2022,NA
university of california-santa cruz,life sciences - ecology,life sciences,ecology,university of california-davis,2022,NA
columbia university,engineering - industrial engineering and operations research,engineering,industrial engineering and operations research,university of southern california,2022,NA
university of california - merced,engineering - environmental engineering,engineering,environmental engineering,university of arizona,2022,NA
regents of the university of michigan - ann arbor,chemistry - sustainable chemistry,chemistry,sustainable chemistry,regents of the university of michigan - ann arbor,2022,NA
university of washington,life sciences - systems and molecular biology,life sciences,systems and molecular biology,university of colorado at boulder,2022,NA
university of tulsa,comp/is/eng - computational science and engineering,comp/is/eng,computational science and engineering,NA,2022,NA
aurora university,life sciences - ecology,life sciences,ecology,aurora university,2022,NA
clarkson university,engineering - mechanical engineering,engineering,mechanical engineering,"university of california, berkeley",2022,NA
university of california-los angeles,life sciences - genomics,life sciences,genomics,harvard university,2022,NA
university of florida,life sciences - ecology,life sciences,ecology,NA,2022,NA
university of utah,life sciences - ecology,life sciences,ecology,NA,2022,NA
university of illinois at urbana-champaign,life sciences - organismal biology,life sciences,organismal biology,university of illinois at urbana-champaign,2022,NA
university of alabama at birmingham,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",university of south carolina at columbia,2022,NA
clemson university,life sciences - ecology,life sciences,ecology,clemson university,2022,NA
university of connecticut,engineering - materials engineering,engineering,materials engineering,columbia university,2022,NA
university of minnesota-twin cities,psychology - developmental psychology,psychology,developmental psychology,university of minnesota-twin cities,2022,NA
nova southeastern university,geosciences - biological oceanography,geosciences,biological oceanography,college of william & mary virginia institute of marine science,2022,NA
university of missouri-columbia,social sciences - biological anthropology,social sciences,biological anthropology,NA,2022,NA
"university of california, berkeley",chemistry - chemical synthesis,chemistry,chemical synthesis,california institute of technology,2022,NA
vassar college,physics and astronomy - condensed matter physics,physics and astronomy,condensed matter physics,university of washington,2022,NA
utah state university,engineering - biomedical engineering,engineering,biomedical engineering,university of utah,2022,NA
oklahoma state university,comp/is/eng - robotics and computer vision,comp/is/eng,robotics and computer vision,oklahoma state university,2022,NA
university of akron,engineering - biomedical engineering,engineering,biomedical engineering,cleveland state university,2022,NA
university of colorado at boulder,engineering - environmental engineering,engineering,environmental engineering,NA,2022,NA
university of california-berkeley,geosciences - paleontology and paleobiology,geosciences,paleontology and paleobiology,university of california-berkeley,2022,NA
california institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,california institute of technology,2022,NA
regents of the university of michigan - ann arbor,engineering - civil engineering,engineering,civil engineering,regents of the university of michigan - ann arbor,2022,NA
university of new england,engineering - chemical engineering,engineering,chemical engineering,worcester polytechnic institute,2022,NA
massachusetts institute of technology,materials research - computationally intensive research,materials research,computationally intensive research,georgia institute of technology,2022,NA
university of washington,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,NA,2022,NA
oklahoma state university,psychology - social/affective neuroscience,psychology,social/affective neuroscience,university of arkansas,2022,NA
university of new mexico,engineering - chemical engineering,engineering,chemical engineering,university of new mexico,2022,NA
university of north carolina at chapel hill,social sciences - public policy,social sciences,public policy,NA,2022,NA
syracuse university,engineering - biomedical engineering,engineering,biomedical engineering,syracuse university,2022,NA
william marsh rice university,engineering - civil engineering,engineering,civil engineering,NA,2022,NA
massachusetts institute of technology,materials research - physics of materials,materials research,physics of materials,massachusetts institute of technology,2022,NA
university of california-davis,life sciences - microbial biology,life sciences,microbial biology,vanderbilt university,2022,NA
university of puerto rico cayey,life sciences - biochemistry,life sciences,biochemistry,"university of california, berkeley",2022,NA
duquesne university,engineering - biomedical engineering,engineering,biomedical engineering,duquesne university,2022,NA
university of california-santa barbara,social sciences - medical anthropology,social sciences,medical anthropology,university of california-riverside,2022,NA
pennsylvania state univ university park,materials research - photonic materials,materials research,photonic materials,university of california-santa barbara,2022,NA
boston college,life sciences - genetics,life sciences,genetics,university of guam,2022,NA
university of california-los angeles,materials research - metallic materials,materials research,metallic materials,california institute of technology,2022,NA
university of california-santa barbara,physics and astronomy - physics of living systems,physics and astronomy,physics of living systems,university of california-santa barbara,2022,NA
northwestern university,engineering - environmental engineering,engineering,environmental engineering,yale university,2022,NA
san jose state university,geosciences - marine biology,geosciences,marine biology,NA,2022,NA
university of texas at arlington,social sciences - biological anthropology,social sciences,biological anthropology,university of texas at arlington,2022,NA
university of miami,life sciences - other (specify) - plant-microbe biology,life sciences,other (specify) - plant-microbe biology,NA,2022,NA
university of rochester,life sciences - bioinformatics and computational biology,life sciences,bioinformatics and computational biology,NA,2022,NA
massachusetts institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,harvard university,2022,NA
university of utah,social sciences - geography,social sciences,geography,arizona state university,2022,NA
williams college,comp/is/eng - robotics and computer vision,comp/is/eng,robotics and computer vision,university of california san diego,2022,NA
vassar college,materials research - chemistry of materials,materials research,chemistry of materials,university of wisconsin-madison,2022,NA
university of texas at san antonio,engineering - biomedical engineering,engineering,biomedical engineering,university of texas at san antonio,2022,NA
allegheny college,life sciences - genomics,life sciences,genomics,university of california - merced,2022,NA
santa clara university,engineering - biomedical engineering,engineering,biomedical engineering,university of virginia,2022,NA
boise state university,stem education and learning research - engineering education,stem education and learning research,engineering education,boise state university,2022,NA
university of georgia,geosciences - artificial intelligence,geosciences,artificial intelligence,stanford university,2022,NA
university of nebraska-lincoln,engineering - bioengineering,engineering,bioengineering,massachusetts institute of technology,2022,NA
university of south florida,physics and astronomy - physics of living systems,physics and astronomy,physics of living systems,georgia institute of technology,2022,NA
massachusetts institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,stanford university,2022,NA
university of colorado at boulder,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of colorado at boulder,2022,NA
college of william and mary,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods","university of california, berkeley",2022,NA
texas a&m university,life sciences - other (specify) - entomology,life sciences,other (specify) - entomology,"rutgers, the state university of new jersey",2022,NA
university of texas at austin,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,william marsh rice university,2022,NA
florida international university,engineering - environmental engineering,engineering,environmental engineering,columbia university,2022,NA
loyola university of chicago,life sciences - microbial biology,life sciences,microbial biology,NA,2022,NA
harvard university,comp/is/eng - computer networks,comp/is/eng,computer networks,university of california san diego,2022,NA
university of chicago,social sciences - political science,social sciences,political science,NA,2022,NA
university of california-los angeles,chemistry - chemical catalysis,chemistry,chemical catalysis,university of minnesota-twin cities,2022,NA
university of california-santa cruz,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,fisk university,2022,NA
regents of the university of michigan - ann arbor,engineering - mechanical engineering,engineering,mechanical engineering,regents of the university of michigan - ann arbor,2022,NA
university of texas at austin,engineering - mechanical engineering,engineering,mechanical engineering,university of texas at austin,2022,NA
brigham young university,geosciences - artificial intelligence,geosciences,artificial intelligence,brown university,2022,NA
california institute of technology,physics and astronomy - computationally intensive research,physics and astronomy,computationally intensive research,california institute of technology,2022,NA
st. cloud state university,life sciences - cell biology,life sciences,cell biology,university of minnesota-twin cities,2022,NA
massachusetts institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,massachusetts institute of technology,2022,NA
sonoma state university,"physics and astronomy - other (specify) - chemical, applied, and materials physi",physics and astronomy,"other (specify) - chemical, applied, and materials physi",university of california-irvine,2022,NA
ohio wesleyan university,life sciences - evolutionary biology,life sciences,evolutionary biology,ohio wesleyan university,2022,NA
"university of california, berkeley",geosciences - geophysics,geosciences,geophysics,university of california-san diego scripps inst of oceanography,2022,NA
"university of california, berkeley",engineering - materials engineering,engineering,materials engineering,NA,2022,NA
texas a&m university,materials research - computationally intensive research,materials research,computationally intensive research,texas a&m university,2022,NA
san francisco state university,engineering - biomedical engineering,engineering,biomedical engineering,university of california-berkeley,2022,NA
indiana state university,geosciences - geochemistry,geosciences,geochemistry,university of illinois,2022,NA
ohio state university,materials research - artificial intelligence,materials research,artificial intelligence,"university of california, berkeley",2022,NA
ohio state university,"mathematical sciences - algebra, number theory, and combinatorics",mathematical sciences,"algebra, number theory, and combinatorics",university of california san diego,2022,NA
massachusetts institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,massachusetts institute of technology,2022,NA
pennsylvania state univ university park,engineering - optical engineering,engineering,optical engineering,montana state university,2022,NA
georgia institute of technology,geosciences - glaciology,geosciences,glaciology,colorado school of mines,2022,NA
california institute of technology,comp/is/eng - robotics and computer vision,comp/is/eng,robotics and computer vision,california institute of technology,2022,NA
cornell university,life sciences - evolutionary biology,life sciences,evolutionary biology,cornell university,2022,NA
university of dallas,life sciences - ecology,life sciences,ecology,texas state university - san marcos,2022,NA
university of california - merced,engineering - bioengineering,engineering,bioengineering,university of california-santa barbara,2022,NA
university of california-irvine,life sciences - microbial biology,life sciences,microbial biology,"university of california, san francisco",2022,NA
university of chicago,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,massachusetts institute of technology,2022,NA
vanderbilt university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",vanderbilt university,2022,NA
emory university,life sciences - neurosciences,life sciences,neurosciences,emory university,2022,NA
texas state university - san marcos,life sciences - microbial biology,life sciences,microbial biology,johns hopkins university,2022,NA
north carolina state university,engineering - chemical engineering,engineering,chemical engineering,north carolina state university,2022,NA
university of washington,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of washington,2022,NA
princeton university,engineering - industrial engineering and operations research,engineering,industrial engineering and operations research,massachusetts institute of technology,2022,NA
trinity university,geosciences - geomorphology,geosciences,geomorphology,NA,2022,NA
nebraska wesleyan university,chemistry - chemical synthesis,chemistry,chemical synthesis,university of illinois at urbana-champaign,2022,NA
virginia commonwealth university,social sciences - biological anthropology,social sciences,biological anthropology,university of oregon eugene,2022,NA
university of utah,engineering - other (specify) - molecular engineering,engineering,other (specify) - molecular engineering,university of washington,2022,NA
boston university,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,brown university,2022,NA
california institute of technology,geosciences - biogeochemistry,geosciences,biogeochemistry,stanford university,2022,NA
college of the holy cross,psychology - developmental psychology,psychology,developmental psychology,stony brook university,2022,NA
ohio state university,materials research - quantum information science,materials research,quantum information science,northwestern university,2022,NA
oberlin college,social sciences - economics,social sciences,economics,oberlin college,2022,NA
harvard university,life sciences - genetics,life sciences,genetics,columbia university,2022,NA
duke university,engineering - biomedical engineering,engineering,biomedical engineering,duke university,2022,NA
university of mississippi,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",university of mississippi,2022,NA
university of chicago,life sciences - developmental biology,life sciences,developmental biology,massachusetts institute of technology,2022,NA
harvey mudd college,life sciences - cell biology,life sciences,cell biology,"university of california, berkeley",2022,NA
michigan state university,engineering - mechanical engineering,engineering,mechanical engineering,michigan state university,2022,NA
utah state university,engineering - biomedical engineering,engineering,biomedical engineering,william marsh rice university,2022,NA
arizona state university,geosciences - marine geology and geophysics,geosciences,marine geology and geophysics,university of washington,2022,NA
"university of california, berkeley",physics and astronomy - condensed matter physics,physics and astronomy,condensed matter physics,"university of california, berkeley",2022,NA
california institute of technology,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,california institute of technology,2022,NA
california institute of technology,life sciences - neurosciences,life sciences,neurosciences,california institute of technology,2022,NA
"harvard college, president & fellows of",comp/is/eng - machine learning,comp/is/eng,machine learning,"harvard college, president & fellows of",2022,NA
northeastern university,comp/is/eng - computer security and privacy,comp/is/eng,computer security and privacy,massachusetts institute of technology,2022,NA
cornell university,life sciences - genomics,life sciences,genomics,harvard university medical school,2022,NA
wellesley college,engineering - quantum engineering,engineering,quantum engineering,massachusetts institute of technology,2022,NA
california institute of technology,life sciences - systems and molecular biology,life sciences,systems and molecular biology,california institute of technology,2022,NA
columbia university,engineering - biomedical engineering,engineering,biomedical engineering,columbia university,2022,NA
university of minnesota-twin cities,social sciences - sociology,social sciences,sociology,the ohio state university/cete,2022,NA
cornell university,physics and astronomy - quantum information science,physics and astronomy,quantum information science,cornell university,2022,NA
college of charleston,life sciences - ecology,life sciences,ecology,university of massachusetts amherst,2022,NA
bucknell university,life sciences - physiology,life sciences,physiology,california polytechnic state university,2022,NA
william marsh rice university,engineering - mechanical engineering,engineering,mechanical engineering,william marsh rice university,2022,NA
colgate university,geosciences - marine biology,geosciences,marine biology,university of texas at austin,2022,NA
university of kentucky,life sciences - neurosciences,life sciences,neurosciences,NA,2022,NA
barnard college,physics and astronomy - particle physics,physics and astronomy,particle physics,NA,2022,NA
emory university,life sciences - evolutionary biology,life sciences,evolutionary biology,emory university,2022,NA
birmingham southern college,life sciences - ecology,life sciences,ecology,NA,2022,NA
university of pennsylvania,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of chicago,2022,NA
"university of california, berkeley",life sciences - genetics,life sciences,genetics,mississippi state university,2022,NA
hamilton college,social sciences - economics,social sciences,economics,NA,2022,NA
princeton university,materials research - electronic materials,materials research,electronic materials,princeton university,2022,NA
massachusetts institute of technology,geosciences - climate and large-scale atmospheric dynamics,geosciences,climate and large-scale atmospheric dynamics,harvard university,2022,NA
georgia institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,georgia institute of technology,2022,NA
brigham young university,comp/is/eng - natural language processing,comp/is/eng,natural language processing,johns hopkins university,2022,NA
university of southern california,life sciences - developmental biology,life sciences,developmental biology,university of southern california,2022,NA
stanford university,comp/is/eng - bioinformatics and other informatics,comp/is/eng,bioinformatics and other informatics,stanford university,2022,NA
university of chicago,comp/is/eng - computer systems and embedded systems,comp/is/eng,computer systems and embedded systems,university of california san diego,2022,NA
regents of the university of michigan - ann arbor,physics and astronomy - particle physics,physics and astronomy,particle physics,university of illinois at urbana-champaign,2022,NA
duke university,life sciences - ecology,life sciences,ecology,NA,2022,NA
university of north carolina greensboro,chemistry - chemical synthesis,chemistry,chemical synthesis,university of north carolina greensboro,2022,NA
georgia institute of technology,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,georgia institute of technology,2022,NA
university of virginia,engineering - chemical engineering,engineering,chemical engineering,massachusetts institute of technology,2022,NA
saint lawrence university,psychology - social psychology,psychology,social psychology,"rutgers, the state university of new jersey",2022,NA
university of pennsylvania,comp/is/eng - machine learning,comp/is/eng,machine learning,NA,2022,NA
clemson university,life sciences - neurosciences,life sciences,neurosciences,university of chicago,2022,NA
university of memphis,engineering - biomedical engineering,engineering,biomedical engineering,vanderbilt university,2022,NA
saint mary's college of california,life sciences - cell biology,life sciences,cell biology,NA,2022,NA
northwestern university,life sciences - neurosciences,life sciences,neurosciences,NA,2022,NA
rensselaer polytechnic institute,engineering - biomedical engineering,engineering,biomedical engineering,NA,2022,NA
wellesley college,life sciences - other (specify) - chemical biology,life sciences,other (specify) - chemical biology,harvard university,2022,NA
"university of central florida board of trustees, the",stem education and learning research - science education,stem education and learning research,science education,arizona state university,2022,NA
university of washington,physics and astronomy - nuclear physics,physics and astronomy,nuclear physics,yale university,2022,NA
university of california-los angeles,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,cornell university,2022,NA
washington university,life sciences - biochemistry,life sciences,biochemistry,washington university,2022,NA
flagler college,geosciences - biological oceanography,geosciences,biological oceanography,flagler college,2022,NA
stanford university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,harvard university,2022,NA
northwestern university,engineering - materials engineering,engineering,materials engineering,northwestern university,2022,NA
the college of new jersey,mathematical sciences - applied mathematics,mathematical sciences,applied mathematics,NA,2022,NA
johns hopkins university,engineering - mechanical engineering,engineering,mechanical engineering,stanford university,2022,NA
saint john's university,engineering - materials engineering,engineering,materials engineering,yale university,2022,NA
university of missouri-columbia,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,university of missouri-columbia,2022,NA
university of georgia,life sciences - ecology,life sciences,ecology,"university of california, berkeley",2022,NA
university of california-davis,life sciences - evolutionary biology,life sciences,evolutionary biology,brown university,2022,NA
barnard college,chemistry - chemistry of life processes,chemistry,chemistry of life processes,stanford university,2022,NA
university of illinois at urbana-champaign,geosciences - paleontology and paleobiology,geosciences,paleontology and paleobiology,university of texas at austin,2022,NA
university of illinois at urbana-champaign,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,massachusetts institute of technology,2022,NA
university of notre dame,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,university of notre dame,2022,NA
university of mississippi,"social sciences - anthropology, other (specify) - archaeology",social sciences,"anthropology, other (specify) - archaeology",university of mississippi,2022,NA
georgia institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,virginia polytechnic institute & state university,2022,NA
university of rochester,engineering - environmental engineering,engineering,environmental engineering,carnegie-mellon university,2022,NA
university of tennessee knoxville,engineering - mechanical engineering,engineering,mechanical engineering,NA,2022,NA
university of kansas,life sciences - cell biology,life sciences,cell biology,johns hopkins university,2022,NA
ohio state university,mathematical sciences - applied mathematics,mathematical sciences,applied mathematics,NA,2022,NA
harvard university,geosciences - atmospheric chemistry,geosciences,atmospheric chemistry,harvard university,2022,NA
university of delaware,engineering - chemical engineering,engineering,chemical engineering,university of delaware,2022,NA
"university of california, berkeley",life sciences - biochemistry,life sciences,biochemistry,harvard university,2022,NA
middlebury college,comp/is/eng - algorithms and theoretical foundations,comp/is/eng,algorithms and theoretical foundations,new york university,2022,NA
north carolina state university,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,north carolina state university,2022,NA
saint olaf college,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,stanford university,2022,NA
university of colorado at boulder,comp/is/eng - data science,comp/is/eng,data science,university of colorado at boulder,2022,NA
university of maryland,social sciences - medical anthropology,social sciences,medical anthropology,columbia university,2022,NA
suny college at new paltz,engineering - other (specify) - architectural engineering,engineering,other (specify) - architectural engineering,NA,2022,NA
university of massachusetts boston,life sciences - ecology,life sciences,ecology,duke university,2022,NA
university of texas at austin,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of texas at austin,2022,NA
cornell university,life sciences - systematics and biodiversity,life sciences,systematics and biodiversity,texas a&m university,2022,NA
bowdoin college,life sciences - ecology,life sciences,ecology,NA,2022,NA
pepperdine university,social sciences - sociology,social sciences,sociology,washington university,2022,NA
boston university,engineering - mechanical engineering,engineering,mechanical engineering,yale university,2022,NA
"harvard college, president & fellows of",mathematical sciences - biostatistics,mathematical sciences,biostatistics,"harvard college, president & fellows of",2022,NA
university of kentucky,life sciences - evolutionary biology,life sciences,evolutionary biology,harvard university,2022,NA
university of texas at dallas,engineering - mechanical engineering,engineering,mechanical engineering,university of texas at dallas,2022,NA
university of utah,comp/is/eng - graphics and visualization,comp/is/eng,graphics and visualization,massachusetts institute of technology,2022,NA
"university of california, berkeley",comp/is/eng - machine learning,comp/is/eng,machine learning,"university of california, berkeley",2022,NA
university of california-san diego,engineering - biomedical engineering,engineering,biomedical engineering,university of california-san diego,2022,NA
university of oklahoma,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of minnesota-twin cities,2022,NA
university of southern california,geosciences - hydrology,geosciences,hydrology,university of colorado at boulder,2022,NA
university of texas at dallas,geosciences - aeronomy,geosciences,aeronomy,university of texas at dallas,2022,NA
creighton university,life sciences - biochemistry,life sciences,biochemistry,university of texas at austin,2022,NA
rutgers university new brunswick,comp/is/eng - computer architecture,comp/is/eng,computer architecture,yale university,2022,NA
university of illinois at urbana-champaign,engineering - bioengineering,engineering,bioengineering,university of california san diego,2022,NA
massachusetts institute of technology,comp/is/eng - machine learning,comp/is/eng,machine learning,massachusetts institute of technology,2022,NA
chico state enterprises,life sciences - biochemistry,life sciences,biochemistry,university of california-davis,2022,NA
colorado state university-pueblo,materials research - electronic materials,materials research,electronic materials,university of colorado at boulder,2022,NA
university of chicago,comp/is/eng - graphics and visualization,comp/is/eng,graphics and visualization,stanford university,2022,NA
massachusetts institute of technology,physics and astronomy - condensed matter physics,physics and astronomy,condensed matter physics,massachusetts institute of technology,2022,NA
university of california-santa barbara,physics and astronomy - condensed matter physics,physics and astronomy,condensed matter physics,university of california-santa barbara,2022,NA
university of minnesota-twin cities,life sciences - ecology,life sciences,ecology,NA,2022,NA
duke university,life sciences - genetics,life sciences,genetics,cornell university,2022,NA
johns hopkins university,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,georgia institute of technology,2022,NA
massachusetts institute of technology,life sciences - bioinformatics and computational biology,life sciences,bioinformatics and computational biology,massachusetts institute of technology,2022,NA
columbia university,psychology - cognitive neuroscience,psychology,cognitive neuroscience,NA,2022,NA
university of california san diego,engineering - bioengineering,engineering,bioengineering,university of washington,2022,NA
"university of maryland, college park",engineering - chemical engineering,engineering,chemical engineering,johns hopkins university,2022,NA
university of california-irvine,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of california-irvine,2022,NA
massachusetts institute of technology,life sciences - cell biology,life sciences,cell biology,massachusetts institute of technology,2022,NA
grinnell college,mathematical sciences - biostatistics,mathematical sciences,biostatistics,grinnell college,2022,NA
emory university,psychology - social psychology,psychology,social psychology,stanford university,2022,NA
university of california-san diego,psychology - cognitive psychology,psychology,cognitive psychology,university of california-san diego,2022,NA
harvey mudd college,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,harvey mudd college,2022,NA
university of california-berkeley,psychology - cognitive neuroscience,psychology,cognitive neuroscience,NA,2022,NA
university of chicago,mathematical sciences - topology,mathematical sciences,topology,university of chicago,2022,NA
texas a&m university,engineering - other (specify) - chemical and biomolecular engineering,engineering,other (specify) - chemical and biomolecular engineering,johns hopkins university,2022,NA
harvard university,comp/is/eng - computer systems and embedded systems,comp/is/eng,computer systems and embedded systems,stanford university,2022,NA
northeastern university,physics and astronomy - particle physics,physics and astronomy,particle physics,massachusetts institute of technology,2022,NA
